filters,f1,f2,c1,c2
eff_att_pres_rt,0.05 (0.02),-0.06 (0.01),-0.16 (0.05),-0.11 (0.05)
att_pres_rt,0.04 (0.02),-0.07 (0.01),-0.16 (0.05),-0.1 (0.05)
eff_pres_rt,0.05 (0.02),-0.06 (0.01),-0.16 (0.05),-0.11 (0.05)
pres_rt,0.04 (0.02),-0.07 (0.02),-0.15 (0.05),-0.11 (0.05)
eff_att_rt,0.05 (0.02),-0.06 (0.02),-0.14 (0.05),-0.1 (0.05)
att_rt,0.04 (0.02),-0.07 (0.01),-0.14 (0.05),-0.1 (0.05)
eff_rt,0.05 (0.02),-0.06 (0.01),-0.14 (0.05),-0.1 (0.05)
rt,0.04 (0.02),-0.07 (0.01),-0.14 (0.05),-0.1 (0.05)
eff_att_pres,0.05 (0.02),-0.06 (0.01),-0.16 (0.05),-0.11 (0.05)
att_pres,0.04 (0.02),-0.07 (0.01),-0.16 (0.05),-0.1 (0.05)
eff_pres,0.05 (0.02),-0.06 (0.01),-0.16 (0.05),-0.11 (0.05)
pres,0.04 (0.02),-0.07 (0.01),-0.15 (0.05),-0.11 (0.05)
eff_att,0.05 (0.02),-0.06 (0.01),-0.15 (0.05),-0.1 (0.05)
att,0.04 (0.02),-0.07 (0.01),-0.14 (0.05),-0.1 (0.05)
eff,0.05 (0.02),-0.06 (0.01),-0.14 (0.05),-0.11 (0.05)
