Finished,id,age,age_bin,MTurk_ID,group_id,study_id,zip,president,attention,effort,cCases_1_conf,cCases_2_conf,cCases_3_conf,aCases_1_conf,aCases_2_conf,aCases_3_conf,deaths_1_conf,deaths_2_conf,deaths_3_conf,rt,past_social_iso_1,futur_social_iso_1,time_to_stop_dist,lb,decrease,outcome,day,estimate,confidence
1,1,21,young,A2PIFMM4Q2I9ZS,g_2,2,79416,Donald Trump,6,10,57,61,65,26,26,23,73,76,78,73.632,94,96,4,393782,FALSE,cCases,1,500000,57
1,1,21,young,A2PIFMM4Q2I9ZS,g_2,2,79416,Donald Trump,6,10,57,61,65,26,26,23,73,76,78,73.632,94,96,4,393782,FALSE,cCases,2,600000,61
1,1,21,young,A2PIFMM4Q2I9ZS,g_2,2,79416,Donald Trump,6,10,57,61,65,26,26,23,73,76,78,73.632,94,96,4,393782,FALSE,cCases,3,800000,65
1,1,21,young,A2PIFMM4Q2I9ZS,g_2,2,79416,Donald Trump,6,10,57,61,65,26,26,23,73,76,78,73.632,94,96,4,393782,FALSE,aCases,1,800000,26
1,1,21,young,A2PIFMM4Q2I9ZS,g_2,2,79416,Donald Trump,6,10,57,61,65,26,26,23,73,76,78,73.632,94,96,4,393782,FALSE,aCases,2,900000,26
1,1,21,young,A2PIFMM4Q2I9ZS,g_2,2,79416,Donald Trump,6,10,57,61,65,26,26,23,73,76,78,73.632,94,96,4,393782,FALSE,aCases,3,1000000,23
1,1,21,young,A2PIFMM4Q2I9ZS,g_2,2,79416,Donald Trump,6,10,57,61,65,26,26,23,73,76,78,73.632,94,96,4,393782,FALSE,deaths,1,14000,73
1,1,21,young,A2PIFMM4Q2I9ZS,g_2,2,79416,Donald Trump,6,10,57,61,65,26,26,23,73,76,78,73.632,94,96,4,393782,FALSE,deaths,2,16000,76
1,1,21,young,A2PIFMM4Q2I9ZS,g_2,2,79416,Donald Trump,6,10,57,61,65,26,26,23,73,76,78,73.632,94,96,4,393782,FALSE,deaths,3,18000,78
1,2,45,middle,A2I9ZQITLUGSHF,ta_1,1,7102,Donald Trump,6,10,39,42,45,46,51,51,51,49,55,63.166,62,84,5,96968,TRUE,cCases,1,100,39
1,2,45,middle,A2I9ZQITLUGSHF,ta_1,1,7102,Donald Trump,6,10,39,42,45,46,51,51,51,49,55,63.166,62,84,5,96968,TRUE,cCases,2,200,42
1,2,45,middle,A2I9ZQITLUGSHF,ta_1,1,7102,Donald Trump,6,10,39,42,45,46,51,51,51,49,55,63.166,62,84,5,96968,TRUE,cCases,3,300,45
1,2,45,middle,A2I9ZQITLUGSHF,ta_1,1,7102,Donald Trump,6,10,39,42,45,46,51,51,51,49,55,63.166,62,84,5,96968,TRUE,aCases,1,250,46
1,2,45,middle,A2I9ZQITLUGSHF,ta_1,1,7102,Donald Trump,6,10,39,42,45,46,51,51,51,49,55,63.166,62,84,5,96968,TRUE,aCases,2,250,51
1,2,45,middle,A2I9ZQITLUGSHF,ta_1,1,7102,Donald Trump,6,10,39,42,45,46,51,51,51,49,55,63.166,62,84,5,96968,TRUE,aCases,3,500,51
1,2,45,middle,A2I9ZQITLUGSHF,ta_1,1,7102,Donald Trump,6,10,39,42,45,46,51,51,51,49,55,63.166,62,84,5,96968,TRUE,deaths,1,100,51
1,2,45,middle,A2I9ZQITLUGSHF,ta_1,1,7102,Donald Trump,6,10,39,42,45,46,51,51,51,49,55,63.166,62,84,5,96968,TRUE,deaths,2,150,49
1,2,45,middle,A2I9ZQITLUGSHF,ta_1,1,7102,Donald Trump,6,10,39,42,45,46,51,51,51,49,55,63.166,62,84,5,96968,TRUE,deaths,3,200,55
1,3,44,middle,AKMIORNF40ST7,ta_2,2,19438,trump,6,10,100,100,100,51,54,54,40,47,39,102.108,88,91,7,393782,FALSE,cCases,1,450000,100
1,3,44,middle,AKMIORNF40ST7,ta_2,2,19438,trump,6,10,100,100,100,51,54,54,40,47,39,102.108,88,91,7,393782,FALSE,cCases,2,600000,100
