"zip","est","est1","est2","est3","confidence","decrease","MTurk_ID","exp","group","day","id","past_social_iso_1","futur_social_iso_1","time_to_stop_dist","rt","attention","president","outcome","age","effort","new","lb","truth","n_start","state_id","z_est","z_conf"
2130,2e+05,2e+05,8e+05,3200000,38,FALSE,"A1DVND6M3FKF2O",1,"ta",1,1910000,92,92,5,93.286,6,"Trump","cCases",27,10,NA,96968,165851,1988,"MA",1.39532943593851,1.51297346832042
2130,8e+05,2e+05,8e+05,3200000,25,FALSE,"A1DVND6M3FKF2O",1,"ta",2,1910000,92,92,5,93.286,6,"Trump","cCases",27,10,NA,96968,248079,1988,"MA",5.58131774375404,0.995377281789753
2152,5e+05,5e+05,1500000,4500000,50,FALSE,"A15VRRHQCLJHC8",3.1,"ta",1,630,NA,NA,NA,293.395,6,"Trump","cCases",49,10,NA,96968,165851,1988,"MA",3.01923406834214,2.04736581800354
2155,110000,110000,250000,5e+05,82,FALSE,"A3K9GTQBOI7O5A",3.1,"ta",1,109,NA,NA,NA,107.916,6,"Donald Trump","cCases",27,9,NA,96968,165851,1988,"MA",0.664231495035271,3.3576799415258
2155,5e+05,110000,250000,5e+05,82,FALSE,"A3K9GTQBOI7O5A",3.1,"ta",3,109,NA,NA,NA,107.916,6,"Donald Trump","cCases",27,9,NA,96968,340775,1988,"MA",3.01923406834214,3.3576799415258
2155,250000,110000,250000,5e+05,83,FALSE,"A3K9GTQBOI7O5A",3.1,"ta",2,109,NA,NA,NA,107.916,6,"Donald Trump","cCases",27,9,NA,96968,248079,1988,"MA",1.50961703417107,3.39862725788587
2180,1e+05,1e+05,110000,120000,50,FALSE,"A9BVDYQU2VTIJ",1,"ta",1,5740000,80,82,2,108.364,6,"Trump","cCases",33,9,NA,96968,165851,1988,"MA",0.697664717969255,1.99075456357951
2180,120000,1e+05,110000,120000,50,FALSE,"A9BVDYQU2VTIJ",1,"ta",3,5740000,80,82,2,108.364,6,"Trump","cCases",33,9,NA,96968,340775,1988,"MA",0.837197661563107,1.99075456357951
2180,7e+05,5e+05,6e+05,7e+05,27,FALSE,"A9BVDYQU2VTIJ",2,"ta",3,0.0981,80,82,5,84.916,6,"Trump","cCases",33,9,0,393782,677570,1988,"MA",2.47739734440548,1.06761362564413
2180,6e+05,5e+05,6e+05,7e+05,35,FALSE,"A9BVDYQU2VTIJ",2,"ta",2,0.0981,80,82,5,84.916,6,"Trump","cCases",33,9,0,393782,590573,1988,"MA",2.12348343806184,1.38394358879794
2180,5e+05,5e+05,6e+05,7e+05,40,FALSE,"A9BVDYQU2VTIJ",2,"ta",1,0.0981,80,82,5,84.916,6,"Trump","cCases",33,9,0,393782,505959,1988,"MA",1.7695695317182,1.58164981576908
2180,110000,1e+05,110000,120000,50,FALSE,"A9BVDYQU2VTIJ",1,"ta",2,5740000,80,82,2,108.364,6,"Trump","cCases",33,9,NA,96968,248079,1988,"MA",0.767431189766181,1.99075456357951
2302,595000,5e+05,595000,7e+05,40,FALSE,"A27CEAL8PWSAG5",2,"ta",2,0.0333,100,100,6,224.302,6,"Donald Trump","cCases",44,10,1,393782,590573,1988,"MA",2.10578774274465,1.58164981576908
2302,5e+05,5e+05,595000,7e+05,55,FALSE,"A27CEAL8PWSAG5",2,"ta",1,0.0333,100,100,6,224.302,6,"Donald Trump","cCases",44,10,1,393782,505959,1988,"MA",1.7695695317182,2.17476849668248
2302,7e+05,5e+05,595000,7e+05,40,FALSE,"A27CEAL8PWSAG5",2,"ta",3,0.0333,100,100,6,224.302,6,"Donald Trump","cCases",44,10,1,393782,677570,1988,"MA",2.47739734440548,1.58164981576908
2468,530000,530000,7e+05,1e+06,75,FALSE,"A1UZYIOG9SSQ1P",2,"ta",1,0.0043,94,96,5,187.973,6,"Donald Trump","cCases",48,10,1,393782,505959,1988,"MA",1.87574370362129,2.96559340456702
2468,1e+06,530000,7e+05,1e+06,53,FALSE,"A1UZYIOG9SSQ1P",2,"ta",3,0.0043,94,96,5,187.973,6,"Donald Trump","cCases",48,10,1,393782,677570,1988,"MA",3.53913906343639,2.09568600589403
2468,7e+05,530000,7e+05,1e+06,59,FALSE,"A1UZYIOG9SSQ1P",2,"ta",2,0.0043,94,96,5,187.973,6,"Donald Trump","cCases",48,10,1,393782,590573,1988,"MA",2.47739734440548,2.33293347825939
2739,475000,475000,510000,525000,50,FALSE,"A1DVND6M3FKF2O",2,"ta",1,0.0943,90,92,7,137.231,6,"Donald Trump","cCases",27,9,0,393782,505959,1988,"MA",1.68109105513229,1.97706226971134
2739,510000,475000,510000,525000,59,FALSE,"A1DVND6M3FKF2O",2,"ta",2,0.0943,90,92,7,137.231,6,"Donald Trump","cCases",27,9,0,393782,590573,1988,"MA",1.80496092235256,2.33293347825939
2739,525000,475000,510000,525000,68,FALSE,"A1DVND6M3FKF2O",2,"ta",3,0.0943,90,92,7,137.231,6,"Donald Trump","cCases",27,9,0,393782,677570,1988,"MA",1.85804800830411,2.68880468680743
2860,900500,475000,610000,900500,60,FALSE,"A1WXJXB4TZXKIL",3.2,"ta",3,160,NA,NA,NA,260.876,6,"Donald J Trump","cCases",46,10,NA,393782,677570,1988,"RI",3.45781202406024,2.30087185523519
2860,475000,475000,610000,900500,60,FALSE,"A1WXJXB4TZXKIL",3.2,"ta",1,160,NA,NA,NA,260.876,6,"Donald J Trump","cCases",46,10,NA,393782,505959,1988,"RI",1.82394304434049,2.30087185523519
2860,610000,475000,610000,900500,75,FALSE,"A1WXJXB4TZXKIL",3.2,"ta",2,160,NA,NA,NA,260.876,6,"Donald J Trump","cCases",46,10,NA,393782,590573,1988,"RI",2.34232685694253,2.87608981904398
2864,5e+05,5e+05,6e+05,650000,75,FALSE,"A3UQ5DF8VVD975",2,"ta",1,0.04,95,95,6,278.043,6,"Donald Trump","cCases",41,9,1,393782,505959,1988,"RI",1.7695695317182,2.96559340456702
2864,6e+05,5e+05,6e+05,650000,50,FALSE,"A3UQ5DF8VVD975",2,"ta",2,0.04,95,95,6,278.043,6,"Donald Trump","cCases",41,9,1,393782,590573,1988,"RI",2.12348343806184,1.97706226971134
2864,650000,5e+05,6e+05,650000,30,FALSE,"A3UQ5DF8VVD975",2,"ta",3,0.04,95,95,6,278.043,6,"Donald Trump","cCases",41,9,1,393782,677570,1988,"RI",2.30044039123366,1.18623736182681
2865,8e+05,150000,450000,8e+05,54,FALSE,"A143XRCI1YXAFE",3.1,"g",3,249,NA,NA,NA,73.626,6,"Donald Trump","cCases",27,10,NA,96968,340775,1988,"RI",4.83077450934743,2.21115508344382
2865,450000,150000,450000,8e+05,63,FALSE,"A143XRCI1YXAFE",3.1,"g",2,249,NA,NA,NA,73.626,6,"Donald Trump","cCases",27,10,NA,96968,248079,1988,"RI",2.71731066150793,2.57968093068446
2865,150000,150000,450000,8e+05,76,FALSE,"A143XRCI1YXAFE",3.1,"g",1,249,NA,NA,NA,73.626,6,"Donald Trump","cCases",27,10,NA,96968,165851,1988,"RI",0.905770220502643,3.11199604336538
2882,2e+05,120000,2e+05,4e+05,0,FALSE,"A48WNR6C4CI3J",1,"g",2,1770000,0,0,6,121.19,6,"Donald ""The Douche"" Trump","cCases",36,8,NA,96968,248079,1988,"RI",1.39532943593851,0
2882,120000,120000,2e+05,4e+05,0,FALSE,"A48WNR6C4CI3J",1,"g",1,1770000,0,0,6,121.19,6,"Donald ""The Douche"" Trump","cCases",36,8,NA,96968,165851,1988,"RI",0.837197661563107,0
2882,4e+05,120000,2e+05,4e+05,0,FALSE,"A48WNR6C4CI3J",1,"g",3,1770000,0,0,6,121.19,6,"Donald ""The Douche"" Trump","cCases",36,8,NA,96968,340775,1988,"RI",2.79065887187702,0
2889,2e+05,150000,170000,2e+05,90,FALSE,"A2YC8FDI1N4U77",1,"g",3,1570000,100,100,5,137.678,6,"Donald Trump","cCases",20,10,NA,96968,340775,1988,"RI",1.39532943593851,3.58335821444311
2889,150000,150000,170000,2e+05,89,FALSE,"A2YC8FDI1N4U77",1,"g",1,1570000,100,100,5,137.678,6,"Donald Trump","cCases",20,10,NA,96968,165851,1988,"RI",1.04649707695388,3.54354312317152
2889,170000,150000,170000,2e+05,87,FALSE,"A2YC8FDI1N4U77",1,"g",2,1570000,100,100,5,137.678,6,"Donald Trump","cCases",20,10,NA,96968,248079,1988,"RI",1.18603002054773,3.46391294062834
2892,1e+06,5e+05,7e+05,1e+06,89,FALSE,"A23EWFNNOUS10B",3.2,"ta",3,303,NA,NA,NA,88.491,6,"Trump","cCases",33,10,NA,393782,677570,1988,"RI",3.83988009334841,3.41295991859886
2892,5e+05,5e+05,7e+05,1e+06,88,FALSE,"A23EWFNNOUS10B",3.2,"ta",1,303,NA,NA,NA,88.491,6,"Trump","cCases",33,10,NA,393782,505959,1988,"RI",1.9199400466742,3.37461205434494
2892,7e+05,5e+05,7e+05,1e+06,88,FALSE,"A23EWFNNOUS10B",3.2,"ta",2,303,NA,NA,NA,88.491,6,"Trump","cCases",33,10,NA,393782,590573,1988,"RI",2.68791606534388,3.37461205434494
2908,2e+05,135000,2e+05,3e+05,39,FALSE,"A3KIDRWRKC7RI5",1,"ta",2,10990000,70,72,5,219.493,6,"Donald Trump","cCases",45,10,NA,96968,248079,1988,"RI",1.39532943593851,1.55278855959201
2908,135000,135000,2e+05,3e+05,50,FALSE,"A3KIDRWRKC7RI5",1,"ta",1,10990000,70,72,5,219.493,6,"Donald Trump","cCases",45,10,NA,96968,165851,1988,"RI",0.941847369258495,1.99075456357951
