income_down_1,optimism_1,essential_worker,total_time,news,fox,attention,effort,id,age,age_bin,MTurk_ID,group_id,cCases_1_est_g,cCases_2_est_g,cCases_3_est_g,cCases_1_conf_g,cCases_2_conf_g,cCases_3_conf_g,aCases_1_est_g,aCases_2_est_g,aCases_3_est_g,aCases_1_conf_g,aCases_2_conf_g,aCases_3_conf_g,deaths_1_est_g,deaths_2_est_g,deaths_3_est_g,deaths_1_conf_g,deaths_2_conf_g,deaths_3_conf_g,cCases_1_est_ta,cCases_2_est_ta,cCases_3_est_ta,cCases_1_conf_ta,cCases_2_conf_ta,cCases_3_conf_ta,aCases_1_est_ta,aCases_2_est_ta,aCases_3_est_ta,aCases_1_conf_ta,aCases_2_conf_ta,aCases_3_conf_ta,deaths_1_est_ta,deaths_2_est_ta,deaths_3_est_ta,deaths_1_conf_ta,deaths_2_conf_ta,deaths_3_conf_ta,rt_t,rt_g,rt_ta,prob_of_case,prob_of_hosp,prob_of_death,zip,Gender,gen_health,gen_anxiety,president,edu,edu_mom,start_en,prim_lng,num1,num2,num3,num4,num5,num6,num7,num8,num_mu,cons1,cons2,cons3,cons4,cons5,cons6,cons7,conserv_mu,know_someone,corona_news_1,corona_anxious_1,past_social_iso_1,futur_social_iso_1,risk1,risk2,risk3,risk4,risk5,risk6,risk_mu,time_to_stop_dist,max_new_cases,new,trump,Finished,cCases_1_est,cCases_2_est,cCases_3_est,aCases_1_est,aCases_2_est,aCases_3_est,deaths_1_est,deaths_2_est,deaths_3_est,og_n,new_n
4,4,1,355,8,0,6,10,29,39,middle,A2IBTYRQIZX1N6,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453001,673088,819726,52,51,49,783009,956392,1239005,42,40,37,13008,15213,17103,46,45,44,NA,NA,NA,51,29,13,63701,1,1,1,Donald Trump,2,2,1,English,0.5,0.5,1.5,1.5,1.5,2.5,2.5,2.5,1.625,3,4,1,3,3,1,4,2.7142857142857144,1,91,85,95,95,2,1,1,1,2,1,1.3333333333333333,7,13000,0,1,1,453001,673088,819726,783009,956392,1239005,13008,15213,17103,175,117
31,5,1,792,3,1,6,10,32,50,middle,APEQ60QNQ3WQT,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420000,500000,580000,74,69,62,600000,700000,800000,80,75,69,14500,18500,22500,77,72,64,NA,NA,NA,8,0,0,21043,2,1,1,Donald Trump,6,6,0,English,2.5,2.5,2.5,2.5,2.5,1.5,1.5,2.5,2.25,1,1,4,3,2,0,2,1.8571428571428572,0,100,81,98,99,0,-2,-2,-2,-0,-1,-1.1666666666666667,6,120,0,3,1,420000,500000,580000,600000,700000,800000,14500,18500,22500,175,117
14,4,2,531,12,0,6,10,33,64,old,A2DD5TYSKNCLA6,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490000,520000,550000,42,35,33,500000,625000,750000,29,21,7,15000,19000,24000,58,47,31,NA,NA,NA,1,0,0,97123,2,1,1,Donald J. Trump,6,6,birth,English,2.5,2.5,2.5,2.5,2.5,1.5,1.5,2.5,2.25,-1,-3,2,0,-3,3,-1,-0.42857142857142855,0,81,0,100,97,2,-1,0,1,1,1,0.6666666666666666,7,6200,0,1,1,490000,520000,550000,500000,625000,750000,15000,19000,24000,175,117
1,4,2,535,2,0,6,9,34,59,middle,AVL8NX27320P,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440000,500000,550000,76,73,65,1200000,1900000,2400000,59,53,46,15000,20000,24000,69,64,55,NA,NA,NA,20,15,3,22407,2,1,1,Donald Trump,6,5,1,English,0.5,0.5,0.5,1.5,1.5,2.5,2.5,2.5,1.5,1,1,3,1,1,2,1,1.4285714285714286,0,90,30,90,90,-1,-1,0,0,1,-1,-0.3333333333333333,4,100000,0,3,1,440000,500000,550000,1200000,1900000,2400000,15000,20000,24000,175,117
10,2,1,390,3,1,6,9,36,48,middle,A24WQ0ZEGXHX6J,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515255,650321,792751,34,22,9,1500000,2150000,2950352,15,11,6,15576,19853,22352,35,27,26,NA,NA,NA,1,1,1,84414,2,1,1,Donald Trump,5,2,0,English,2.5,2.5,2.5,2.5,1.5,1.5,1.5,2.5,2.125,4,2,4,4,-3,4,4,2.7142857142857144,0,45,5,51,51,0,1,-1,0,-0,1,0.16666666666666666,7,5500,0,2,1,515255,650321,792751,1500000,2150000,2950352,15576,19853,22352,175,117
51,3,2,511,3,1,6,10,37,65,old,AXZV4UH3U7A6V,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,40000,60000,31,64,95,50000,100000,150000,31,64,91,2000,4000,6000,20,42,63,NA,NA,NA,44,60,57,63601,2,1,1,donald trump,5,1,1,english,0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.25,1,-1,-2,1,-2,1,1,-0.14285714285714285,0,66,54,64,49,1,-1,0,1,-0,-1,0,5,52176,0,2,1,20000,40000,60000,50000,100000,150000,2000,4000,6000,175,117
50,4,1,255,2,0,6,10,38,42,middle,A1HB8WVP9ZWLXV,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,9,39,41,53,3,6,9,49,14,63,3,6,9,63,21,95,NA,NA,NA,63,86,53,20740,1,1,1,Donald Trump,5,5,42,english,1.5,2.5,0.5,1.5,0.5,1.5,-1.5,0.5,0.875,3,-1,-3,2,-2,2,2,0.42857142857142855,1,100,57,53,78,1,0,1,2,-4,1,0.16666666666666666,7,3000,0,4,1,3,6,9,3,6,9,3,6,9,175,117
63,2,1,700,6,0,6,10,39,26,young,AO6PLHG9VY5X9,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397000,399000,401000,85,100,96,395000,397000,398000,64,84,77,13000,15000,18000,73,75,89,NA,NA,NA,58,68,74,8810,2,1,1,Donald Trump,6,6,Born,English,-0.5,1.5,1.5,0.5,1.5,1.5,-0.5,1.5,0.875,4,-1,2,-1,-1,2,2,1,0,69,54,72,83,-3,0,-1,-2,-0,1,-0.8333333333333334,7,3000,0,4,1,397000,399000,401000,395000,397000,398000,13000,15000,18000,175,117
65,4,2,518,1,0,6,9,42,74,old,A1EQLY98F5PJYP,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520000,750000,940000,75,78,81,12000,42000,120000,50,51,51,12,60,120,51,52,54,NA,NA,NA,15,15,10,33406,2,1,1,Donald J. Trump,4,2,2,English,0.5,0.5,0.5,0.5,-0.5,-1.5,1.5,0.5,0.25,1,-2,2,0,-0,-2,0,-0.14285714285714285,0,84,84,98,100,0,-2,-1,-1,-1,-1,-1,7,450,0,3,1,520000,750000,940000,12000,42000,120000,12,60,120,175,117
90,5,1,622,1,0,6,9,43,30,middle,A3KH3R0XM1LT9F,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,3400,9200,85,94,98,1500,2900,7400,78,85,98,38,150,1015,70,82,100,NA,NA,NA,93,90,95,37211,2,1,1,Donald Trump,6,2,5,English,2.5,0.5,2.5,1.5,2.5,1.5,-2.5,1.5,1.25,-3,2,3,-2,4,-2,-3,-0.14285714285714285,0,91,95,83,96,-2,-3,-3,-2,3,-3,-1.6666666666666667,4,222000,0,4,1,1300,3400,9200,1500,2900,7400,38,150,1015,175,117
