"attention","effort","id","age","age_bin","MTurk_ID","group_id","rt_t","rt_g","rt_ta","prob_of_case","prob_of_hosp","prob_of_death","zip","Gender","gen_health","gen_anxiety","president","edu","edu_mom","start_en","prim_lng","num1","num2","num3","num4","num5","num6","num7","num8","num_mu","cons1","cons2","cons3","cons4","cons5","cons6","cons7","conserv_mu","know_someone","corona_news_1","corona_anxious_1","past_social_iso_1","futur_social_iso_1","risk1","risk2","risk3","risk4","risk5","risk6","risk_mu","time_to_stop_dist","max_new_cases","cCases_1_est","cCases_2_est","cCases_3_est","aCases_1_est","aCases_2_est","aCases_3_est","deaths_1_est","deaths_2_est","deaths_3_est","og_n","new_n","study","income_down_1","optimism_1","essential_worker","total_time","news","fox","new","trump"
6,10,1,27,"young","A2M3FPQF852HW4","t",95.556,NA,NA,1,0,0,84102,2,1,1,"Donald Trump",3,2,"0","English",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,-4,-4,4,-4,-4,-4,-4,-2.85714285714286,0,84,6,100,100,4,0,-1,1,3,2,1.5,5,10000,105000,125000,150000,150000,250000,3e+05,1750,2000,2300,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,3,50,"middle","AWPB724OHY99T","t",68.508,NA,NA,6,2,1,84123,1,2,1,"Trump",6,2,"2","English",0.5,-0.5,0.5,-0.5,-0.5,0.5,0.5,0.5,0.125,1,2,-1,2,2,0,2,1.14285714285714,0,32,9,64,81,0,1,1,1,0,-1,0.333333333333333,5,18000,68,319,2183,180,496,3584,2,8,28,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,5,43,"middle","AUDH0P4ZHJKS2","g",NA,81.875,NA,5,1,1,78751,1,1,3,"Trump",5,5,"1","English",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,-2,3,2,-2,2,2,1,0,99,58,100,100,2,-2,-2,2,3,2,0.833333333333333,7,1e+05,3e+05,6e+05,1200000,1e+06,2e+06,4e+06,2500,3500,5000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,7,29,"young","AOG0PUCLMU0HH","g",NA,109.027,NA,50,50,50,77064,2,2,1,"donald trump",5,5,"3","English",0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,1.25,-4,-4,4,-4,-4,4,-4,-1.71428571428571,0,50,19,54,55,0,4,4,0,-4,0,0.666666666666667,5,300,300,600,900,400,500,600,10,30,60,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,9,9,22,"young","A3F3TLSJRMMG0K","g",NA,127.114,NA,12,2,0,84123,2,2,2,"Donald Trump",3,3,"1","English",0.5,1.5,1.5,1.5,0.5,1.5,1.5,1.5,1.25,2,2,4,4,4,3,4,3.28571428571429,0,66,25,81,89,1,2,0,1,1,0,0.833333333333333,5,15000,160000,2e+05,260000,2e+05,280000,360000,2000,3000,4500,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,11,32,"middle","A1ZCP2OQXOMAHN","g",NA,135.004,NA,15,11,10,53719,1,2,1,"Donald Trump",5,5,"1","English",0.5,0.5,-0.5,0.5,2.5,-0.5,-1.5,1.5,0.375,-3,-3,3,-3,-3,-3,-3,-2.14285714285714,0,92,71,100,100,1,-1,-2,1,1,0,0,5,25000,10000,12500,14000,11000,13400,16000,1525,1575,1650,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,13,24,"young","AKNV05F5X5YAC","g",NA,110.224,NA,5,2,0,64155,2,2,3,"Donald Trump",5,3,"1","English",2.5,2.5,2.5,2.5,1.5,2.5,2.5,1.5,2.25,-3,-4,3,-4,-2,-2,-4,-2.28571428571429,0,94,81,70,77,1,2,1,0,1,1,1,5,15000,125000,212500,375120,240000,480000,960000,2000,3500,6000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,9,14,22,"young","A24QTQHYCMKY91","ta",NA,NA,132.51,10,5,1,29697,1,2,1,"Donald Trump",3,4,"1","English",2.5,2.5,2.5,2.5,1.5,1.5,1.5,2.5,2.125,2,2,4,3,1,4,2,2.57142857142857,0,90,50,80,80,-2,2,2,1,1,1,0.833333333333333,5,30000,110000,130000,160000,150000,180000,220000,3000,4000,7000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,9,15,32,"middle","A1SLJZ7IB6BC1J","ta",NA,NA,69.848,78,61,84,32311,2,1,2,"Donald Trump",5,5,"0","English",2.5,-0.5,0.5,1.5,1.5,2.5,0.5,1.5,1.25,2,-3,-2,3,-2,1,2,0.142857142857143,1,77,86,66,92,0,-2,0,-3,1,-1,-0.833333333333333,5,10,50,250,500,50,250,500,10,30,50,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,16,35,"middle","A2HU2D8889A2FV","g",NA,165.327,NA,19,15,22,17603,2,1,2,"Donald Trump",2,2,"1","English",-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.375,-1,1,-3,1,2,-2,3,0.142857142857143,0,23,22,19,17,0,0,0,0,0,0,0,2,15000,10000,12000,15000,1500,1700,2000,1500,1700,1900,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
