"attention","effort","id","age","age_bin","MTurk_ID","group_id","rt_t","rt_g","rt_ta","prob_of_case","prob_of_hosp","prob_of_death","zip","Gender","gen_health","gen_anxiety","president","edu","edu_mom","start_en","prim_lng","num1","num2","num3","num4","num5","num6","num7","num8","num_mu","cons1","cons2","cons3","cons4","cons5","cons6","cons7","conserv_mu","know_someone","corona_news_1","corona_anxious_1","past_social_iso_1","futur_social_iso_1","risk1","risk2","risk3","risk4","risk5","risk6","risk_mu","time_to_stop_dist","max_new_cases","cCases_1_est","cCases_2_est","cCases_3_est","aCases_1_est","aCases_2_est","aCases_3_est","deaths_1_est","deaths_2_est","deaths_3_est","og_n","new_n","study","income_down_1","optimism_1","essential_worker","total_time","news","fox","new","trump"
6,10,17,49,"middle","AX7SO41YPLNPH","t",70.924,NA,NA,0,0,1,60030,2,3,1,"Donald Trump",5,5,"Since Birth","English",2.5,2.5,2.5,2.5,2.5,0.5,2.5,1.5,2.125,0,2,1,-2,-1,-2,-1,-0.428571428571429,0,10,1,0,1,4,4,4,4,3,4,3.83333333333333,1,10000,60000,65000,70000,50000,52000,54000,1,5,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,18,36,"middle","A37S96RT1P1IT2","t",125.518,NA,NA,1,0,0,32301,1,2,1,"Donald Trump",5,5,"0","English",-0.5,0.5,0.5,1.5,2.5,2.5,2.5,1.5,1.375,2,-4,4,-3,2,4,2,1,0,30,10,100,100,-1,0,-1,0,1,-1,-0.333333333333333,4,20000,1e+05,125000,150000,2e+05,3e+05,5e+05,2000,2500,3000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,8,19,29,"young","A1BHHRSKO2MBT3","g",NA,72.854,NA,25,15,2,60606,2,3,3,"donald trump",5,5,"0","english",0.5,0.5,-1.5,0.5,-0.5,0.5,0.5,-0.5,0,1,-3,-2,1,-2,-3,-2,-1.42857142857143,0,55,32,81,76,-1,-2,0,-1,1,-1,-0.666666666666667,5,18000,319,2183,19367,400,2000,8000,1,15,48,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,20,30,"middle","AHIJACUG7ZL9B","g",NA,108.064,NA,3,2,1,19001,2,1,1,"Donald Trump",3,2,"0","English",2.5,2.5,1.5,2.5,1.5,2.5,2.5,2.5,2.25,-3,-1,-3,-3,-2,-4,-4,-2.85714285714286,1,46,4,83,84,-2,-1,-2,-2,-2,-2,-1.83333333333333,3,1000,120000,150000,180000,130000,170000,220000,1800,2300,2800,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,21,28,"young","A1OBB3PWYWK9KK","g",NA,160.953,NA,20,1,1,97202,1,2,3,"Donald Trump",5,5,"0","English",0.5,1.5,1.5,2.5,1.5,1.5,2.5,2.5,1.75,-3,-4,-2,-3,-3,-1,-4,-2.85714285714286,0,93,71,60,60,-2,-2,-3,-3,-2,-3,-2.5,6,10000,125000,175000,220000,4e+05,6e+05,9e+05,2000,2500,3100,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,23,29,"young","A39SVLL7C9VA6N","g",NA,84.53,NA,34,18,15,33458,2,1,2,"donald trump",5,5,"1","english",2.5,2.5,2.5,2.5,2.5,2.5,-1.5,1.5,1.875,4,4,4,4,4,4,4,4,0,33,52,43,29,0,-1,1,0,-1,1,0,5,1e+05,1e+05,2e+05,3e+05,50000,1e+05,150000,3000,6000,12000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,24,35,"middle","A2X1AE7DU46FMR","g",NA,161.608,NA,2,0,0,27409,1,2,2,"Trump",5,4,"native speaker","english",1.5,1.5,2.5,2.5,-2.5,2.5,2.5,2.5,1.625,-4,-4,1,-4,-4,-4,-4,-3.28571428571429,0,75,10,100,100,-1,-1,-1,-1,-1,1,-0.666666666666667,6,1000,120000,150000,2e+05,2e+05,220000,250000,1600,1900,2100,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,26,37,"middle","A3542PB4Z0NE80","ta",NA,NA,114.665,20,10,5,96816,2,4,3,"donald trump",3,5,"1","english",0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,0.875,-1,0,-1,1,0,0,0,-0.142857142857143,0,50,50,60,60,0,0,1,0,-1,0,0,3,1000,110000,130000,150000,120000,140000,150000,1500,1550,1600,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,27,28,"young","A2EKR2ZFO10VMV","t",138.508,NA,NA,30,5,1,95119,1,3,4,"Trump",4,4,"28","English",-1.5,-0.5,-0.5,1.5,0.5,1.5,1.5,0.5,0.375,-4,-4,-1,-4,-4,-4,-4,-3.57142857142857,0,64,37,61,61,-2,-2,-2,-2,-1,-3,-2,6,1e+06,120000,170000,250000,250000,4e+05,7e+05,2000,3000,3500,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,29,22,"young","A23NUJAGS4J5N","g",NA,182.541,NA,5,0,0,19020,1,2,3,"Donald Trump",5,4,"1","English",1.5,1.5,1.5,2.5,1.5,1.5,1.5,2.5,1.75,-2,-4,0,-4,-2,1,-4,-2.14285714285714,0,90,66,95,95,-1,-3,-1,0,2,-2,-0.833333333333333,5,30000,145000,190000,220000,250000,290000,315000,1900,2100,2400,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,31,31,"middle","A3D6VDP1APQF3D","ta",NA,NA,178.993,13,2,1,91801,2,3,2,"Donald Trump",6,2,"4","English",0.5,0.5,-0.5,1.5,0.5,1.5,1.5,2.5,1,-2,-3,1,1,-2,1,-2,-0.857142857142857,0,60,83,89,81,1,2,1,0,1,0,0.833333333333333,5,60000,1e+06,1750000,2250000,2500000,3750000,8e+06,7000,20000,50000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,32,32,"middle","A3UQ9R1VDVVQKR","g",NA,65.97,NA,5,5,1,6033,2,3,2,"Trump",6,5,"1","English",1.5,0.5,0.5,1.5,1.5,1.5,1.5,1.5,1.25,-2,-3,-1,3,-2,0,-2,-1,0,100,100,100,100,2,0,0,1,0,0,0.5,7,20000,140000,180000,210000,5e+05,7e+05,9e+05,1600,1900,2300,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,9,33,31,"middle","A2IGPW784OFV3D","t",152.512,NA,NA,10,5,0,18960,2,3,2,"Trump",2,2,"1","English",1.5,1.5,0.5,0.5,1.5,1.5,1.5,-0.5,1,-3,-3,1,1,-2,-1,1,-0.857142857142857,0,51,50,64,56,1,0,1,0,0,1,0.5,5,5e+05,130000,2e+05,250000,3e+05,5e+05,7e+05,2000,2700,3500,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,35,32,"middle","A171S8E9IFSHH2","t",113.476,NA,NA,4,1,0,33712,2,2,2,"Donald Trump",4,6,"0","English",0.5,1.5,1.5,1.5,0.5,-0.5,-0.5,1.5,0.75,1,1,4,3,2,4,3,2.57142857142857,0,53,32,95,82,1,2,0,1,1,2,1.16666666666667,4,1500,110000,125000,150000,1e+05,110000,125000,290,325,370,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,7,36,57,"middle","A1GHPGN19CVDMR","ta",NA,NA,103.081,1,2,1,54940,2,2,1,"Donny Trump",4,3,"1","English",-1.5,-0.5,-0.5,2.5,-0.5,-0.5,-0.5,0.5,-0.125,2,-2,-4,-4,-4,-4,0,-2.28571428571429,0,79,20,93,23,-2,-2,-1,-1,0,0,-1,4,200,103660,121668,124558,101000,105000,110000,1500,1600,1700,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,9,37,50,"middle","AA9V4NE8SOA4I","g",NA,184.957,NA,25,6,2,92252,2,3,3,"Trump",2,1,"0","English",0.5,1.5,1.5,1.5,1.5,0.5,1.5,1.5,1.25,-2,3,1,4,3,3,3,2.14285714285714,0,73,61,74,83,0,2,1,2,0,-1,0.666666666666667,5,10000,120000,180000,3e+05,4e+05,6e+05,1200000,2200,3700,7000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,40,34,"middle","A1XBWSV6TWJUU8","g",NA,153.895,NA,24,15,3,95971,1,2,2,"Trump",5,2,"0","English",-1.5,-0.5,-0.5,-0.5,1.5,-0.5,2.5,1.5,0.25,2,2,0,2,1,0,-1,0.857142857142857,0,81,56,47,44,-2,-2,-3,-1,2,-2,-1.33333333333333,7,500,5,10,20,5,12,22,0,2,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,41,33,"middle","AKON4ZPGX5DYQ","g",NA,59.979,NA,25,10,0,11950,1,2,3,"Trump",5,3,"2","English",-2.5,-2.5,-2.5,-2.5,2.5,2.5,2.5,2.5,0,-4,-4,2,-4,-4,-4,-4,-3.14285714285714,1,89,88,94,94,1,4,4,4,2,4,3.16666666666667,5,4000,99000,120000,130000,130000,140000,160000,1500,1600,1700,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,42,51,"middle","A377LTGWJKY2IW","g",NA,184.244,NA,1,0,0,78717,1,1,2,"Donald Trump",4,2,"birth","english",-0.5,-0.5,0.5,0.5,1.5,0.5,0.5,1.5,0.5,3,3,2,4,2,-1,-3,1.42857142857143,0,71,23,90,92,-2,2,-1,0,1,-1,-0.166666666666667,4,80000,123000,147000,158000,130000,152000,159000,1500,1540,1570,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,43,28,"young","A2XCEMBRPHIWEG","g",NA,129.908,NA,44,38,32,95621,2,1,2,"Donald Trump",6,6,"1","English",2.5,2.5,2.5,1.5,2.5,2.5,-1.5,2.5,1.875,-4,-4,1,-2,2,2,-1,-0.857142857142857,0,100,87,22,100,-3,4,2,4,-1,4,1.66666666666667,3,100,1e+05,100100,100200,1e+05,100100,100200,1600,1700,1800,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,9,44,26,"young","AY6EYIDUN6SI1","t",152.791,NA,NA,10,5,1,63366,1,2,2,"Trump",5,4,"0","English",-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,-1,-4,3,1,-3,2,-1,-0.428571428571429,0,80,55,90,90,-1,-1,-1,-1,1,-1,-0.666666666666667,5,5000,105000,115000,130000,110000,125000,145000,1600,1750,1900,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,45,25,"young","A1ZE0MLGKWQLM8","ta",NA,NA,107.414,46,3,3,90020,1,3,2,"Trump",5,5,"3","english",0.5,0.5,1.5,2.5,2.5,2.5,-2.5,2.5,1.25,-2,-4,1,-4,-4,0,-3,-2.28571428571429,0,73,49,59,45,2,-1,-1,-1,2,0,0.166666666666667,7,50000,120000,2e+05,3e+05,3e+05,6e+05,1e+06,10000,15000,25000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,46,28,"young","AJFJ6VXZJKSXD","ta",NA,NA,183.239,61,7,1,33135,2,2,2,"Donald Trump",5,5,"0","english",-2.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5,1.25,4,4,4,4,0,4,4,3.42857142857143,0,100,25,100,100,4,-3,-3,-2,1,-1,-0.666666666666667,7,1500,120000,180000,210000,2e+05,350000,520000,1900,2500,4100,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,47,29,"young","A2A91NSJ5LMGOT","ta",NA,NA,135.958,2,3,2,29803,1,1,1,"Donald Trump",5,2,"since born","English",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,-1,-1,0,0,0,0,0,-0.285714285714286,0,50,4,100,100,1,1,1,1,0,1,0.833333333333333,5,5e+05,110000,140000,180000,140000,180000,240000,1600,1800,2000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,9,49,29,"young","A2METANSJXXHRO","t",160.695,NA,NA,15,10,0,53186,2,2,2,"Donald Trump",5,5,"1","English",1.5,1.5,2.5,1.5,1.5,1.5,1.5,1.5,1.625,2,2,4,4,0,1,3,2.28571428571429,0,60,40,90,100,-1,-2,-1,-3,0,2,-0.833333333333333,5,10000,2e+05,450000,8e+05,4e+05,8e+05,1500000,3000,5000,7000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,50,39,"middle","A10N9D9CBT55DX","ta",NA,NA,81.658,30,10,0,17055,2,3,2,"Donald Trump",6,2,"1","English",-0.5,-0.5,-0.5,-0.5,2.5,-2.5,2.5,0.5,0.125,-2,0,0,1,1,-1,4,0.428571428571429,0,100,42,39,38,0,0,-1,0,1,0,0,4,1000,120000,135000,170000,120000,135000,170000,3000,3500,3750,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,51,20,"young","A3E5VG4KRCRIST","ta",NA,NA,135.492,68,1,1,37130,1,1,2,"Donald Trump",3,5,"Kindergarten","English",-0.5,0.5,2.5,-0.5,0.5,-0.5,2.5,0.5,0.625,2,-1,3,1,1,0,2,1.14285714285714,0,54,34,69,61,0,-1,0,-1,0,1,-0.166666666666667,5,1000,116000,140000,190000,3e+05,450000,6e+05,1800,2400,3000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,53,65,"old","A3DFL72CC0P7UE","ta",NA,NA,147.915,0,0,0,7060,2,1,1,"trump",5,1,"1","english",0.5,0.5,1.5,1.5,2.5,1.5,2.5,2.5,1.625,-3,-4,4,-4,-2,-3,-3,-2.14285714285714,0,100,1,100,100,-1,1,1,0,1,-1,0.166666666666667,5,2e+06,189990,3e+05,558999,350000,450000,725000,1700,2100,2900,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,8,56,31,"middle","A26E03OJ98K701","t",90.079,NA,NA,86,76,69,92843,2,4,3,"Donald J. Trump",5,3,"10","English",2.5,1.5,2.5,2.5,2.5,1.5,-1.5,1.5,1.625,4,-2,-3,-2,-2,0,4,-0.142857142857143,1,71,70,74,72,4,2,4,2,-4,2,1.66666666666667,7,1e+06,5000,8000,16000,8000,16000,32000,1000,3000,8000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,8,57,57,"middle","AI8A9G2N9JJ4S","g",NA,154,NA,5,7,6,55920,1,2,3,"Donald Trump",5,3,"1","English",1.5,1.5,1.5,1.5,0.5,2.5,2.5,2.5,1.75,-1,-3,1,-1,-3,-1,-1,-1.28571428571429,0,81,79,100,100,0,1,1,-1,-1,-1,-0.166666666666667,6,20000,2e+05,4e+05,8e+05,4e+05,8e+05,1600000,3000,6000,12000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,58,42,"middle","A23YQ8J1DNM084","g",NA,167.879,NA,1,1,1,80550,1,1,4,"Donald Trump",5,5,"0","English",1.5,2.5,2.5,2.5,1.5,1.5,1.5,2.5,2,4,3,4,4,2,4,4,3.57142857142857,0,95,95,100,100,-2,-2,-2,-1,0,-1,-1.33333333333333,5,5000,1e+05,105000,120000,150000,160000,170000,1500,1700,2000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,61,31,"middle","A2CPPG9U3339TC","g",NA,182.695,NA,20,10,2,11215,2,4,4,"Donald J Trump",6,2,"15","English",2.5,2.5,2.5,2.5,2.5,2.5,-2.5,2.5,1.875,-4,-4,-4,-4,-4,-4,-4,-4,1,100,100,100,100,2,0,1,4,3,0,1.66666666666667,6,5000,120000,130000,150000,150000,180000,2e+05,2000,2500,3500,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,9,62,42,"middle","A2YLK83DQ6PA5Y","t",91.289,NA,NA,25,4,0,78615,2,2,3,"Donald J. Trump",4,4,"0","English",1.5,1.5,1.5,1.5,-0.5,2.5,2.5,0.5,1.375,3,3,4,3,4,3,3,3.28571428571429,0,100,62,100,100,0,1,1,0,2,1,0.833333333333333,6,10000,80000,120000,2e+05,150000,2e+05,250000,400,600,700,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,8,63,31,"middle","A17OQSYXN8BBTZ","ta",NA,NA,163.379,50,50,30,98403,1,2,3,"Trump",5,3,"1","English",-2.5,-2.5,-1.5,-1.5,0.5,2.5,2.5,2.5,0,-4,-4,3,-4,-2,-4,-4,-2.71428571428571,0,80,60,90,90,2,2,2,2,2,2,2,7,1e+05,1e+05,130000,2e+05,130000,2e+05,250000,1800,2200,2600,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,8,64,30,"middle","A2ODB5K2H0BD7Y","g",NA,65.066,NA,72,65,76,12550,2,2,1,"Donald Trump",5,5,"2","English",0.5,1.5,-0.5,1.5,0.5,0.5,-1.5,0.5,0.375,2,-1,-2,3,-1,2,3,0.857142857142857,0,68,77,69,78,0,1,2,0,-1,0,0.333333333333333,4,350,2,4,6,2,4,6,2,4,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,65,26,"young","A89R5XGMHOTJE","t",112.201,NA,NA,0,0,0,90001,1,3,2,"Trump",5,2,"2","English",0.5,1.5,-0.5,1.5,0.5,1.5,1.5,1.5,1,-3,-3,-1,-2,-3,-2,-3,-2.42857142857143,0,62,85,52,61,-1,-2,-2,-1,-2,-1,-1.5,7,50000,120000,150000,2e+05,150000,2e+05,250000,2000,2500,3500,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,9,67,25,"young","A1X4BKW05XDA8Q","t",205.68,NA,NA,25,9,4,91803,2,2,2,"Donald Trump",5,1,"3","English",1.5,0.5,0.5,2.5,1.5,0.5,-2.5,2.5,0.875,-3,-4,4,1,3,1,-2,0,0,60,52,87,75,2,0,0,4,-1,2,1.16666666666667,5,1250,1550,1700,2000,1500,1750,2000,150,250,300,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,68,23,"young","A2FUBB07Z98ZPC","ta",NA,NA,175.223,10,5,1,32817,2,2,2,"Trump",5,5,"8","English",1.5,1.5,1.5,1.5,1.5,-0.5,0.5,1.5,1.125,1,1,0,3,0,0,1,0.857142857142857,0,50,25,85,85,2,0,0,-1,1,2,0.666666666666667,6,5000,113000,150000,190000,2e+05,350000,5e+05,1800,2300,2700,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,69,46,"middle","A1561P9VVA3C1C","t",176.727,NA,NA,30,4,2,60181,1,2,4,"Trump",5,2,"1","English",-0.5,0.5,2.5,2.5,0.5,2.5,2.5,2.5,1.625,-3,-4,-1,-4,-4,-4,-4,-3.42857142857143,0,94,95,100,100,-2,4,-2,-2,-4,-2,-1.33333333333333,5,10500,150600,215600,280900,250600,360500,480000,2500,4600,8600,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,70,31,"middle","A1BXEU20OCUGVZ","g",NA,204.453,NA,2,1,1,75028,1,2,1,"Donald Trump",5,4,"0","English",1.5,2.5,2.5,2.5,2.5,1.5,1.5,2.5,2.125,1,1,3,3,2,1,1,1.71428571428571,0,80,10,85,90,2,-1,-1,2,2,2,1,4,20657,127586,162759,204357,259765,435723,765824,1865,2587,4520,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,71,52,"middle","ACJ6NSCIWMUZI","t",234.735,NA,NA,9,3,0,76060,2,4,2,"trump",3,3,"1","english",-1.5,-0.5,0.5,0.5,0.5,-0.5,0.5,1.5,0.125,-2,-1,-2,-4,-2,1,-3,-1.85714285714286,0,92,50,88,95,1,1,1,1,0,0,0.666666666666667,4,1000,150000,225000,3e+05,2e+05,3e+05,5e+05,2000,2400,3000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,6,72,35,"middle","A66GVEZ7BBLH","g",NA,211.827,NA,0,0,0,95365,1,3,2,"Donald Trump",6,2,"0","english",0.5,0.5,0.5,0.5,1.5,-1.5,0.5,1.5,0.5,-3,-1,1,-2,1,-1,-2,-1,0,73,75,71,81,1,1,1,1,-1,-1,0.333333333333333,5,1000,120000,130000,150000,2e+05,220000,230000,1500,1700,2000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,73,21,"young","A1IF3JCMHN5HNI","g",NA,88.286,NA,27,14,5,15205,1,2,2,"Donald Trump",5,5,"0","English",-2.5,-2.5,2.5,2.5,2.5,2.5,-2.5,0.5,0.375,4,-4,0,0,0,0,4,0.571428571428571,0,43,6,59,63,0,0,0,0,0,0,0,2,1000,1e+05,100500,101000,10000,100500,101000,1500,1608,1792,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,74,42,"middle","A2DVZVTZOCUUB","g",NA,178.923,NA,0,0,0,78660,2,3,3,"donald trump",5,5,"0","english",-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,-0.375,-2,0,0,0,0,-4,-4,-1.42857142857143,0,0,1,1,1,0,0,0,0,0,0,0,2,50000,200,1000,20000,200,2000,20000,200,2000,20000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,75,26,"young","A28TPZXB90CE1D","g",NA,75.119,NA,30,9,6,14217,2,4,1,"Donald Trump",5,5,"4","English",0.5,1.5,-0.5,-0.5,1.5,1.5,0.5,0.5,0.625,2,1,-3,2,-2,0,1,0.142857142857143,0,71,46,56,46,0,-1,0,-2,-1,-2,-1,4,25000,20,80,200,2000,8000,10000,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,76,27,"young","A36FBIDN58N139","ta",NA,NA,237.306,5,2,1,97062,2,4,2,"Donald Trump",2,2,"0","English",2.5,2.5,2.5,2.5,1.5,2.5,2.5,1.5,2.25,-4,-4,2,-4,-4,-4,-4,-3.14285714285714,0,60,50,100,100,0,1,1,0,1,1,0.666666666666667,6,50000,2e+05,5e+05,1e+06,4e+05,1e+06,2e+06,5000,10000,20000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,77,36,"middle","A1JGZD9FUDYJ30","ta",NA,NA,174.702,10,6,1,91362,2,2,1,"Donald Trump",5,5,"1","English",1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.25,-4,-4,-1,-4,-4,-1,-4,-3.14285714285714,0,100,13,100,100,-1,0,0,-1,0,0,-0.333333333333333,6,10000,2e+05,5e+05,1e+06,5e+06,1e+07,3e+07,3000,10000,30000,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
6,10,78,51,"middle","A9ZCY6FLUCIU1","g",NA,211.602,NA,10,8,2,10026,1,1,2,"trump",5,3,"birth","english",1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.25,-4,-4,2,-4,-4,-2,4,-1.71428571428571,0,100,79,100,100,-1,-3,-2,-2,2,-3,-1.5,7,20000,100,200,500,125000,250000,4e+05,1,50,75,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
