"zip","est","confidence","decrease","MTurk_ID","exp","group","day","id","past_social_iso_1","futur_social_iso_1","time_to_stop_dist","rt","attention","president","outcome","age","effort","new","lb","truth","n_start","state_id","z_est","z_conf"
660,13500,3,FALSE,"AKIVKZX0MUZ6H",3.2,"ta",1,118,NA,NA,NA,187.238,6,"Donald Trump","deaths",31,10,NA,12692,22431,1999,"PR",0.856578013711624,0.110876060270277
660,475000,11,FALSE,"AKIVKZX0MUZ6H",3.2,"ta",2,118,NA,NA,NA,187.238,6,"Donald Trump","cCases",31,10,NA,393782,590573,1999,"PR",1.82394304434049,0.421826506793117
660,5e+05,11,FALSE,"AKIVKZX0MUZ6H",3.2,"ta",3,118,NA,NA,NA,187.238,6,"Donald Trump","cCases",31,10,NA,393782,677570,1999,"PR",1.9199400466742,0.421826506793117
660,13800,2,FALSE,"AKIVKZX0MUZ6H",3.2,"ta",2,118,NA,NA,NA,187.238,6,"Donald Trump","deaths",31,10,NA,12692,28011,1999,"PR",0.875613080682994,0.0739173735135178
660,14200,2,FALSE,"AKIVKZX0MUZ6H",3.2,"ta",3,118,NA,NA,NA,187.238,6,"Donald Trump","deaths",31,10,NA,12692,35594,1999,"PR",0.900993169978153,0.0739173735135178
660,450000,10,FALSE,"AKIVKZX0MUZ6H",3.2,"ta",1,118,NA,NA,NA,187.238,6,"Donald Trump","cCases",31,10,NA,393782,505959,1999,"PR",1.72794604200678,0.383478642539198
1001,5400,63,FALSE,"A2UWEI9PTEVNGC",1,"ta",2,8280000,56,77,5,521.107,6,"Donald Trump","deaths",25,8,NA,1477,7687,1999,"MA",2.28035501506872,2.5315218037281
1001,282700,43,FALSE,"A2UWEI9PTEVNGC",1,"ta",1,8280000,56,77,5,521.107,6,"Donald Trump","aCases",25,8,NA,96968,165851,1999,"MA",1.48990543940056,1.70450360117773
1001,6345,54,FALSE,"A2UWEI9PTEVNGC",1,"ta",3,8280000,56,77,5,521.107,6,"Donald Trump","deaths",25,8,NA,1477,11981,1999,"MA",2.67941714270575,2.16987583176694
1001,378600,53,FALSE,"A2UWEI9PTEVNGC",1,"ta",2,8280000,56,77,5,521.107,6,"Donald Trump","aCases",25,8,NA,96968,248079,1999,"MA",1.99532436985162,2.10089978749813
